SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,4.561557234600794,5.296865463046069,200-300,<50,<3,1-3,1-3,3-4,0.20914383184172597
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,3.7825628691310342,4.348069046945451,400-500,100-150,7-10,7-10,3-5,2-3,0.1608470086188868
Oc1ccccc1Cc1ccccc1O,5.055396836287428,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.08760486430740426
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.5114827158116304,3.6006000007279004,500-600,100-150,>=10,7-10,1-3,>=4,0.02534764297433224
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,3.0091419117225766,2.655377710446548,500-600,100-150,7-10,7-10,1-3,>=4,0.1006212058577592
CC(CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,2.608708185139388,3.0612578074341887,400-500,100-150,7-10,7-10,3-5,2-3,0.1287187582619369
CCC(=O)Nc1ccc(Cl)c(Cl)c1,4.2313609227913735,3.3928489637277615,200-300,<50,<3,1-3,1-3,3-4,0.23849808472084588
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.074946057646801,4.683666307544404,300-400,<50,3-5,1-3,<1,>=4,0.4575685466438434
CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NN2C3=CC=CC=C3)C)C(=O)N[C@@H](C)C(C)(C)C,3.0227961480366345,2.933040419609829,400-500,75-100,5-7,5-7,1-3,>=4,0.025529235559648696
CCNc1ccccc1,3.210585647279103,4.033634082553319,<200,<50,<3,1-3,1-3,2-3,0.23409979228513075
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.3768154224492863,4.296070764077701,200-300,<50,3-5,3-5,<1,3-4,0.26146393736902146
Nc1cc(Cl)cc(Cl)c1,2.179947170751412,5.393919458287381,<200,<50,<3,1-3,1-3,2-3,0.9141506291445193
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,5.03562374495095,5.998935073111827,300-400,50-75,7-10,5-7,1-3,>=4,0.27399478835439495
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],2.9076759970353105,0.9383807215534246,200-300,75-100,3-5,5-7,<1,<0,0.5601269563009411
CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,2.8429886456700255,2.6905119681290026,200-300,<50,<3,1-3,1-3,3-4,0.04336896470593234
COC1=C(C=C(C=C1)CCO[C@@H]2CCCC[C@H]2N3CC[C@H](C3)O)OC,4.16355544148498,2.858547243087515,300-400,50-75,7-10,5-7,1-3,3-4,0.37118368139956986
C(CCl)Cl,5.84164133524723,4.012689035209935,<200,<50,<3,<1,<1,1-2,0.5202091823374806
CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)C[C@H](CO)O,2.5582488032709416,1.8001302529231387,500-600,100-150,5-7,7-10,3-5,0-1,0.2156317751880488
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,4.545668897972081,4.565980400356549,200-300,<50,<3,1-3,1-3,2-3,0.005777203728743921
CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,3.15709572051735,5.107673985224389,300-400,75-100,5-7,7-10,1-3,1-2,0.5548032740645119
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,2.817185988348187,2.824560326210862,300-400,50-75,<3,5-7,<1,1-2,0.002097484045780808
CC(C)O,4.738537989189217,1.3360054569004634,<200,<50,<3,1-3,1-3,0-1,0.9677828483894941
C1=Cc2cccc3cccc1c23,3.366580581376948,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.0325989158918637
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,3.3346648625961626,1.9853886174483968,300-400,100-150,<3,5-7,3-5,1-2,0.3837748487051261
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,3.051317009020999,2.7184285063678635,200-300,<50,<3,<1,<1,>=4,0.09468352770665737
