SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,3.155236449688341,4.4237667316091045,400-500,100-150,7-10,7-10,<1,2-3,0.396682293642529
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,3.67362124725225,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.12904692965289938
O=[N+]([O-])c1ccccc1,4.568786552729784,3.081076705295394,<200,<50,<3,1-3,<1,1-2,0.46522196826178197
Oc1ccccc1O,4.353982707749749,4.687891364891228,<200,<50,<3,1-3,1-3,0-1,0.10441662597239629
Clc1ccc(Cl)cc1,4.344147744332167,5.804408801706431,<200,<50,<3,<1,<1,3-4,0.45663845302848677
C1=CC=C2C(=C1)N=C(S2)SCSC#N,3.2363055446680824,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.343516858329975
CCCSC(=O)N(CCC)CCC,3.254255369134803,4.172260856834855,200-300,<50,5-7,1-3,<1,3-4,0.2870696329660277
CNC(=O)Oc1ccccc1OC(C)C,3.4247337735217105,2.9206382762063954,200-300,<50,3-5,3-5,1-3,1-2,0.15763577814408145
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.2089297446396263,3.7440432160689308,300-400,50-75,5-7,3-5,1-3,3-4,0.16733541345515274
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,4.02188456880214,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.2947423921030946
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1.9711545635184384,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.15532306669853932
CCCCCCCCn1sccc1=O,3.3429925406969203,3.507462368162881,200-300,<50,7-10,3-5,<1,2-3,0.05143138427519504
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,2.505912425044661,1.4991894926346008,400-500,75-100,<3,5-7,1-3,>=4,0.3148124783322281
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,2.87240084449171,3.6137144581226854,200-300,50-75,5-7,5-7,<1,2-3,0.23181629067482928
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],3.054724207538927,1.0436381581317689,300-400,100-150,5-7,5-7,3-5,1-2,0.6288870184347359
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,3.6236512750479153,4.364386330371385,300-400,50-75,7-10,5-7,<1,3-4,0.23163536962020556
CC(C)(c1ccccc1)c1ccc(O)cc1,4.939972805656154,4.251418963806454,200-300,<50,<3,1-3,1-3,3-4,0.21531777457274387
