SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range
CN1CCN(CC1)C2=CC=CC=C2/C=C\3/C(=O)N(CCS3)C4=CC(=C(C=C4)Cl)Cl,2.915317446334006,4.001584511406435,400-500,<50,3-5,3-5,<1,>=4
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,3.0797177786192145,1.9315549907495728,300-400,100-150,5-7,7-10,1-3,0-1
C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,3.940567027024539,3.909029730045853,200-300,75-100,<3,5-7,3-5,1-2
COc1ccc(-c2cc(O)nc(=S)n2CCN)c(OC)c1,2.2922661518806042,2.1256653202590465,300-400,75-100,5-7,7-10,1-3,1-2
COc1ccc2c(c1)CC(C)N(CC(C)C)C2c1ccc(C=CC(=O)O)cc1,3.117592475225295,4.966201228338529,300-400,<50,5-7,3-5,1-3,>=4
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,3.9502298982941864,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.208616012109127,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4
COC(=O)N1CCN(C2CCC(Nc3ncnn4ccc(C(C)CC(N)=O)c34)CC2)CC1,1.6805497649768841,2.155580485727476,400-500,100-150,5-7,7-10,1-3,1-2
CCCCOC1=CC=C(C=C1)N,3.5858337455176423,4.293989094995731,<200,<50,3-5,1-3,1-3,2-3
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,3.108195547883881,3.7184368000437407,200-300,<50,3-5,3-5,1-3,3-4
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,2.6636178449684316,1.8064181702367141,300-400,50-75,3-5,1-3,1-3,>=4
CCN(CC)C(=O)c1cccc(C)c1,3.126440825186777,2.3665647486203745,<200,<50,3-5,1-3,<1,2-3
