Clint,predict
1.5656205,2.5763638
2.390811,2.0158525
0.06399958,2.1936064
1.799279,1.6431532
1.070846,0.798286
3.058449,3.613263
1.3157711,1.7208619
4.131083,2.2543359
2.7570539,2.4468663
2.9596422,2.6056726
0.6874368,2.3747275
2.821151,1.5028383
5.499191,1.4555573
1.1106223,1.0029415
2.4714417,2.7507863
4.680553,2.5574267
1.0521694,1.5763993
2.714474,3.4854984
0.10643416,2.2298443
0.2795733,0.7784986
2.6069686,0.6854332
4.7130384,2.3110852
3.8035088,2.0154152
2.0360155,1.8436872
0.6885852,3.1983168
0.73993886,0.81063735
1.2065678,3.297524
5.186628,2.7105112
3.9979172,2.3939557
5.190466,2.5196855
4.935095,2.2575698
2.8628328,1.014333
2.3312864,2.7388313
1.9691186,1.7658705
2.8762095,3.0168161
2.837011,1.8507141
2.1080172,3.7157385
0.026634954,2.2079203
1.3495587,2.188769
1.3495587,1.9846205
0.7125427,1.9819869
3.5219748,3.2321377
2.2519991,2.3452475
0.3913219,2.2448046
2.342686,1.7082332
2.9781854,1.4931302
4.699088,2.7778563
0.44140863,0.8471492
2.1732855,2.521174
2.6430855,2.0700839
1.17103,1.7469112
3.2009804,3.7260067
0.5347654,1.372298
0.52985954,3.2346344
3.7629764,3.5419595
2.323412,1.9253774
0.48641273,0.7141657
1.6132957,2.2183
3.3457181,2.5672076
0.82910377,2.58084
1.9610456,3.4282277
4.1298757,2.9004903
3.7655246,2.5817037
2.771039,1.6812216
1.3352337,0.68061334
0.8770544,0.5104165
2.024878,0.962702
1.6104759,0.61768764
1.4644179,1.0501741
1.8656284,2.4665117
1.1647654,1.6767237
3.5580957,2.1222363
2.2787302,0.9555497
1.04139,2.8461895
1.2004297,2.6110132
0.80747277,0.7449374
1.2767619,2.6501148
4.1516786,3.0623002
0.9643125,2.6208658
1.8868926,1.7331381
1.9914745,2.2316122
0.42306888,2.2361474
0.24148677,1.2175856
0.35644403,0.9602465
5.3258924,2.5894923
3.245804,2.724491
2.260289,2.6613116
0.81814706,0.6052525
2.2596529,2.3406827
0.8427337,0.6830668
5.0717406,2.8930662
1.5665169,0.31501973
0.14952819,0.7936223
0.024335735,2.1060038
2.6053777,2.0552137
5.5256844,2.497646
1.4635562,2.2939572
0.6422774,1.546762
3.6338682,0.5495184
0.8823348,0.76127815
2.6796877,1.1782346
1.5634587,1.9837759
3.1872542,2.8304412
1.4913554,0.36390072
2.331196,2.5076542
3.3161385,2.4994166
1.3659079,1.9763471
1.9588408,0.36749026
4.2974753,2.3435922
4.6051664,2.3160245
2.405548,1.0336788
1.3002113,0.5708583
0.5086121,0.66241086
1.0991946,1.7939284
5.100601,2.5863953
1.2481568,2.7546926
0.32811746,2.042763
1.2341535,2.1626952
2.9418461,2.5469563
2.2359767,2.2747338
5.5733604,3.3993862
1.9044144,1.2352055
1.841696,2.8726296
1.0721968,2.1614873
0.12653846,1.5961932
4.8506727,1.804451
2.8027725,2.0047007
1.2988913,0.5928071
1.2161728,0.94096565
2.8250666,2.813926
3.9352417,1.3895086
3.337303,2.7913547
3.2818086,2.933856
0.507754,2.6009
2.5701852,2.3025534
5.1976266,2.6689332
2.3335114,2.1714416
1.4419385,3.3961065
3.0670457,2.529048
2.7433999,1.8729603
4.0132093,3.0163
0.42453644,1.1183013
0.7697722,0.61427516
1.8981996,1.3946059
0.98600346,2.4457028
0.6299915,2.349878
2.745931,2.4701815
3.1464047,0.81051767
1.6196187,2.5448952
1.2526139,0.86085415
0.0061391336,2.2508936
1.7376534,1.307476
1.4932142,2.0696614
4.6550245,2.245045
1.858012,1.2258863
2.5465899,1.7249999
1.9816015,3.3236082
6.184835,1.3901211
3.2284284,2.7672462
0.008517134,1.2164998
1.0951461,2.2543206
2.2420213,2.1271377
0.5237219,0.9554239
2.6529462,3.4914296
2.6114295,2.7205186
2.9962802,2.4954824
2.323412,0.9234549
1.4183024,3.3538113
5.36762,3.407026
0.5016898,0.69179094
2.648856,0.802251
1.9076799,1.2134932
0.6727555,2.0556748
0.88990206,0.99373144
0.8474967,3.117551
4.4869537,2.6164417
0.3773307,2.3855433
0.5952601,1.3565876
2.2960873,1.9014916
1.7141732,1.1396123
4.734323,2.5451345
1.437824,2.9247155
0.27842668,1.7341597
0.33737922,1.9986011
