SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,3.415306371672771,4.4237667316091045,400-500,100-150,7-10,7-10,<1,2-3,0.29527663857022113
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,3.4153077979599753,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.1964643642098945
O=[N+]([O-])c1ccccc1,3.415307441388174,3.081076705295394,<200,<50,<3,1-3,<1,1-2,0.09786257564606435
Oc1ccccc1O,3.415306371672771,4.687891364891228,<200,<50,<3,1-3,1-3,0-1,0.3726121858832176
Clc1ccc(Cl)cc1,3.415306728244572,5.804408801706431,<200,<50,<3,<1,<1,3-4,0.6995277727103717
C1=CC=C2C(=C1)N=C(S2)SCSC#N,3.415307441388174,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.2692329952251553
CCCSC(=O)N(CCC)CCC,3.415307084816373,4.172260856834855,200-300,<50,5-7,1-3,<1,3-4,0.22163564799788235
CNC(=O)Oc1ccccc1OC(C)C,3.415307084816373,2.9206382762063954,200-300,<50,3-5,3-5,1-3,1-2,0.1448387550117603
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.415306728244572,3.7440432160689308,300-400,50-75,5-7,3-5,1-3,3-4,0.09625386277581129
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,3.4153060151009695,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.45358159221629907
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.415306728244572,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.5682803857656056
CCCCCCCCn1sccc1=O,3.415307084816373,3.507462368162881,200-300,<50,7-10,3-5,<1,2-3,0.02698301626328781
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,3.4153081545317763,1.4991894926346008,400-500,75-100,<3,5-7,1-3,>=4,0.5610384900229369
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.415306728244572,3.6137144581226854,200-300,50-75,5-7,5-7,<1,2-3,0.058093674151412755
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],3.415307084816373,1.0436381581317689,300-400,100-150,5-7,5-7,3-5,1-2,0.6944233569250909
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,3.415306371672771,4.364386330371385,300-400,50-75,7-10,5-7,<1,3-4,0.27789008975680846
CC(C)(c1ccccc1)c1ccc(O)cc1,3.415307084816373,4.251418963806454,200-300,<50,<3,1-3,1-3,3-4,0.2448130981691825
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,3.4153085111035772,1.9378037810571842,500-600,100-150,>=10,>=10,1-3,3-4,0.43261257208686305
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,3.415307441388174,2.7234519298767377,300-400,<50,<3,1-3,<1,3-4,0.2025749131361743
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,3.415306371672771,1.9378037810571842,300-400,50-75,<3,3-5,1-3,2-3,0.4326119456627
C(C(F)(F)F)F,3.415306728244572,0.22870748389392712,<200,<50,<3,<1,<1,0-1,0.9330345055919383
C(CCl)OP(=O)(OCCCl)OCCCl,3.415306371672771,1.8229951818212897,200-300,<50,7-10,3-5,<1,1-2,0.46622784035534887
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,3.415307441388174,1.3279465048795942,300-400,75-100,<3,3-5,<1,2-3,0.6111781338177276
CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,3.415307084816373,2.7890647440831073,300-400,50-75,5-7,3-5,1-3,>=4,0.1833634128303663
Cc1cn2c(-c3cn[nH]c3)cnc2c(=Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)[nH]1,3.415307441388174,3.4347204839571255,400-500,100-150,5-7,7-10,3-5,>=4,0.0056841281838212535
Nc1nc2nc[nH]c2c(=S)[nH]1,3.415306728244572,1.9465596523680775,<200,75-100,<3,3-5,3-5,<0,0.4300483357640676
COP(=O)(OC)OC(C)=CC(=O)N(C)C,3.4153060151009695,1.758046537693511,200-300,50-75,5-7,5-7,<1,0-1,0.48524466321949383
CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,3.415306728244572,3.080141802002717,300-400,50-75,5-7,5-7,<1,>=4,0.09813610600775526
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,3.415306371672771,3.71843680004374,200-300,<50,3-5,3-5,1-3,3-4,0.08875642265540493
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3.415307084816373,1.0436381581317689,200-300,50-75,<3,3-5,1-3,<0,0.6944233569250909
CC(C)N(CC1=CC=CC=C1)C(=O)C(C)(C)C,3.415306728244572,3.2600629802291206,200-300,<50,3-5,1-3,<1,3-4,0.04545528400931782
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],3.415307084816373,5.084785784393688,300-400,<50,>=10,<1,<1,3-4,0.488822444748245
CCC(C)c1ccc(O)cc1,3.4153060151009695,3.900315317126523,<200,<50,<3,1-3,1-3,3-4,0.14201045679815893
CC1=CC(=NC(=N1)NC2=CC=CC=C2)C,3.415307084816373,4.724457218962176,<200,<50,<3,3-5,1-3,2-3,0.3833184390299002
Cn1nc(CO)nc1NCCCOc1cccc(CN2CCCCC2)c1,3.415307084816373,3.3668578030321905,300-400,75-100,7-10,7-10,1-3,1-2,0.01418592305133143
